Date,CHL (P2.5),CHL (P50),CHL (P97.5)
01 Apr 2070,3.5826433821818536e-07,5.296178578185948e-07,7.009713774190043e-07
01 May 2070,1.8920902475852925e-07,3.6389788812339495e-07,5.385867514882606e-07
01 Jun 2070,2.8735365206650114e-07,5.231370050694464e-07,7.589203580723917e-07
01 Jul 2070,4.2885000719570765e-07,6.287654088887632e-07,8.286808105818186e-07
01 Aug 2070,4.504229387071807e-07,6.400160257814229e-07,8.29609112855665e-07
01 Sep 2070,8.092419595199502e-07,9.52623215082589e-07,1.0960044706452279e-06
01 Oct 2070,1.3626566101991305e-06,1.4056838817093158e-06,1.448711153219501e-06
01 Nov 2070,1.7133333129530104e-06,1.8309310081378986e-06,1.948528703322787e-06
01 Dec 2070,1.9059689014845812e-06,2.0015562241969877e-06,2.0971435469093945e-06
01 Jan 2071,1.413617940519284e-06,1.5761540753453334e-06,1.738690210171383e-06
01 Feb 2071,1.511216369488567e-06,1.6874080236279518e-06,1.863599677767337e-06
01 Mar 2071,1.2782748042456709e-06,1.4065287765279063e-06,1.534782748810142e-06
01 Apr 2071,6.843583385620948e-07,7.361715823594502e-07,7.879848261568055e-07
01 May 2071,1.923785565487222e-07,3.522989623222626e-07,5.12219368095803e-07
01 Jun 2071,2.580728120000432e-07,2.91146981214361e-07,3.242211504286788e-07
01 Jul 2071,4.3351104339112466e-07,5.975388037715984e-07,7.615665641520722e-07
01 Aug 2071,5.00148242942883e-07,5.842934801426532e-07,6.684387173424233e-07
01 Sep 2071,7.815274778336159e-07,8.981893480019465e-07,1.0148512181702772e-06
01 Oct 2071,1.2842435707945825e-06,1.3133655740245998e-06,1.3424875772546168e-06
01 Nov 2071,1.7476268065019196e-06,1.7884721785722758e-06,1.8293175506426322e-06
01 Dec 2071,1.7367313238520705e-06,1.8008588620182358e-06,1.864986400184401e-06
01 Jan 2072,1.538110285658945e-06,1.5801869820162424e-06,1.62226367837354e-06
01 Feb 2072,1.6161158369179543e-06,1.6903092906271715e-06,1.7645027443363888e-06
01 Mar 2072,1.0561662313233965e-06,1.1644565681603165e-06,1.2727469049972365e-06
01 Apr 2072,4.0506617684358156e-07,4.124248649998404e-07,4.197835531560992e-07
01 May 2072,1.3856397355016543e-07,3.309735646397259e-07,5.233831557292863e-07
01 Jun 2072,2.627605793324768e-07,3.930359103243192e-07,5.233112413161617e-07
01 Jul 2072,4.1658420050526387e-07,4.26652112547481e-07,4.3672002458969813e-07
01 Aug 2072,4.4674443603671955e-07,5.534058782372535e-07,6.600673204377876e-07
01 Sep 2072,8.13039997416138e-07,8.378162066397338e-07,8.625924158633296e-07
01 Oct 2072,1.3144835055399836e-06,1.329677442083159e-06,1.3448713786263347e-06
01 Nov 2072,1.7374197206016583e-06,1.8094151276139722e-06,1.881410534626286e-06
01 Dec 2072,1.9091446537303433e-06,1.9739726901016756e-06,2.038800726473008e-06
01 Jan 2073,1.8426000182142991e-06,1.8433375820521738e-06,1.8440751458900487e-06
01 Feb 2073,1.4156427378674604e-06,1.7338006127096198e-06,2.051958487551779e-06
01 Mar 2073,1.6978496978254137e-06,1.832316833485473e-06,1.966783969145532e-06
01 Apr 2073,2.8549065570764117e-07,8.009738209375121e-07,1.316456986167383e-06
