Date,CHL (P2.5),CHL (P50),CHL (P97.5)
01 Dec 2024,1.6843183997716608e-06,1.911924830150431e-06,2.139531260529201e-06
01 Jan 2025,1.6792734732979866e-06,1.7240154446856946e-06,1.7687574160734026e-06
01 Feb 2025,2.310291223563475e-06,2.55727681099227e-06,2.8042623984210645e-06
01 Mar 2025,1.6266522916607093e-06,1.74712647161642e-06,1.8676006515721308e-06
01 Apr 2025,8.076864297624078e-07,1.1431550815856455e-06,1.4786237334088833e-06
01 May 2025,9.82789796696698e-07,1.102486444418118e-06,1.2221830921395379e-06
01 Jun 2025,3.414086248331409e-07,6.430066044282423e-07,9.446045840233438e-07
01 Jul 2025,4.938228645234459e-07,5.796326947012138e-07,6.654425248789819e-07
01 Aug 2025,4.5235552518174333e-07,5.46527106849689e-07,6.406986885176346e-07
01 Sep 2025,7.022501864675967e-07,8.148277306105414e-07,9.274052747534862e-07
01 Oct 2025,1.2906420304254807e-06,1.3588315795673474e-06,1.4270211287092142e-06
01 Nov 2025,1.6540068464686117e-06,1.8120377696017098e-06,1.9700686927348078e-06
01 Dec 2025,1.6146780577827676e-06,1.6657746221616277e-06,1.716871186540488e-06
01 Jan 2026,1.532854791048786e-06,1.6907940242561719e-06,1.8487332574635576e-06
01 Feb 2026,2.327827630179228e-06,2.410430626836107e-06,2.4930336234929852e-06
01 Mar 2026,1.655536029026908e-06,1.7923089788235017e-06,1.9290819286200954e-06
01 Apr 2026,5.942013642560659e-07,5.988617914534346e-07,6.035222186508033e-07
01 May 2026,4.378636403960072e-07,4.914043050564411e-07,5.449449697168749e-07
01 Jun 2026,3.6517577689290695e-07,3.971598081031399e-07,4.291438393133728e-07
01 Jul 2026,4.595693231387795e-07,4.878631337938711e-07,5.161569444489626e-07
01 Aug 2026,3.8070685617643247e-07,3.8617901829293345e-07,3.9165118040943443e-07
01 Sep 2026,6.396769932395137e-07,6.505729889686139e-07,6.61468984697714e-07
01 Oct 2026,1.2049326969211785e-06,1.2761872036926214e-06,1.347441710464064e-06
01 Nov 2026,1.8577060394087887e-06,1.9296464641584774e-06,2.0015868889081666e-06
01 Dec 2026,1.7253024594314662e-06,1.7982145488427214e-06,1.8711266382539765e-06
01 Jan 2027,1.621244904260722e-06,1.7490792411547388e-06,1.876913578048756e-06
01 Feb 2027,2.2130580244814898e-06,2.2534667016408727e-06,2.2938753788002556e-06
01 Mar 2027,1.4337098932886133e-06,1.7221549090187567e-06,2.0105999247489e-06
01 Apr 2027,5.623452422170353e-07,7.394548538334344e-07,9.165644654498334e-07
01 May 2027,2.5310395956841144e-07,4.0972997643120406e-07,5.663559932939967e-07
01 Jun 2027,3.244668898080369e-07,4.1495684858135853e-07,5.0544680735468e-07
01 Jul 2027,3.3403765309982204e-07,4.773734618248764e-07,6.207092705499307e-07
01 Aug 2027,4.031432809878366e-07,5.086260395789186e-07,6.141087981700006e-07
01 Sep 2027,6.629186690686959e-07,8.413750880466837e-07,1.0198315070246715e-06
01 Oct 2027,1.287512918467546e-06,1.3627339206635384e-06,1.437954922859531e-06
01 Nov 2027,1.8229287038830835e-06,1.8532348346540825e-06,1.8835409654250813e-06
01 Dec 2027,1.7162120252468689e-06,1.8356419368050889e-06,1.9550718483633086e-06
01 Jan 2028,1.460684115988751e-06,1.4913885902107877e-06,1.5220930644328244e-06
01 Feb 2028,1.7510944088689382e-06,1.974173849827327e-06,2.197253290785716e-06
01 Mar 2028,1.4413946734747706e-06,1.4837179367685368e-06,1.526041200062303e-06
01 Apr 2028,5.045016409071723e-07,7.646481247645885e-07,1.0247946086220047e-06
01 May 2028,2.717797424478739e-07,4.440538001213973e-07,6.163278577949208e-07
01 Jun 2028,3.1733512731488133e-07,5.636785551650629e-07,8.100219830152446e-07
01 Jul 2028,3.5726626282354066e-07,4.547785624544451e-07,5.522908620853496e-07
01 Aug 2028,3.8197065787917554e-07,4.0915145283955106e-07,4.363322477999266e-07
01 Sep 2028,7.146313881574247e-07,7.427101040655822e-07,7.707888199737396e-07
01 Oct 2028,1.2234821213566865e-06,1.2861459355724504e-06,1.3488097497882141e-06
01 Nov 2028,1.6684988636938447e-06,1.7344353526631715e-06,1.8003718416324983e-06
01 Dec 2028,1.8688927506029623e-06,1.968819715706336e-06,2.068746680809709e-06
01 Jan 2029,1.5521563207468858e-06,1.7758065923431898e-06,1.9994568639394938e-06
01 Feb 2029,1.7834607206224775e-06,2.0378242748693285e-06,2.292187829116179e-06
01 Mar 2029,1.4608637946267542e-06,1.8649275073955285e-06,2.268991220164303e-06
01 Apr 2029,3.5660170271875344e-07,6.716857822524627e-07,9.86769861786172e-07
01 May 2029,2.0418189647627944e-07,5.520323899848217e-07,8.998828834933639e-07
01 Jun 2029,3.029647077316055e-07,4.922508235127747e-07,6.81536939293944e-07
01 Jul 2029,3.576550331625229e-07,4.628997447703148e-07,5.681444563781067e-07
01 Aug 2029,3.576099876632114e-07,5.2198982752322e-07,6.863696673832287e-07
01 Sep 2029,6.189489112661477e-07,7.697256977614855e-07,9.205024842568233e-07
01 Oct 2029,1.3000351839376874e-06,1.3160768881637514e-06,1.3321185923898154e-06
01 Nov 2029,1.7702558822293855e-06,1.808288989095292e-06,1.8463220959611984e-06
01 Dec 2029,1.7179984347037598e-06,1.7721687648931542e-06,1.8263390950825485e-06
01 Jan 2030,1.5458257182656583e-06,1.6175277268984637e-06,1.6892297355312693e-06
01 Feb 2030,2.0562745064458025e-06,2.235623661611467e-06,2.414972816777132e-06
01 Mar 2030,1.4149211616446279e-06,1.5753288526557331e-06,1.7357365436668384e-06
01 Apr 2030,4.2482835487969706e-07,7.442618717358949e-07,1.0636953885920926e-06
01 May 2030,2.2589554466103003e-07,3.959966971923378e-07,5.660978497236457e-07
01 Jun 2030,2.9928833006778075e-07,5.770058263736166e-07,8.547233226794525e-07
01 Jul 2030,3.6359740552123073e-07,5.82938910772386e-07,8.022804160235413e-07
01 Aug 2030,3.888076067740078e-07,4.86923957098873e-07,5.850403074237383e-07
01 Sep 2030,6.254109667229762e-07,8.294574941656483e-07,1.0335040216083204e-06
01 Oct 2030,1.222832783247419e-06,1.3900935941143176e-06,1.5573544049812162e-06
01 Nov 2030,1.8824182181154834e-06,1.9633093049894236e-06,2.044200391863364e-06
01 Dec 2030,1.8199698159235967e-06,1.8335197804872338e-06,1.847069745050871e-06
01 Jan 2031,1.561567354724616e-06,1.7960488918158054e-06,2.0305304289069945e-06
01 Feb 2031,1.6434623626308996e-06,2.001941085527576e-06,2.3604198084242523e-06
01 Mar 2031,1.5434765883414603e-06,1.7891549629504485e-06,2.034833337559437e-06
01 Apr 2031,7.701910595471975e-07,9.373976674850242e-07,1.104604275422851e-06
01 May 2031,2.655212207358186e-07,6.453608684074236e-07,1.0252005160790285e-06
01 Jun 2031,3.5871884537480855e-07,6.005840716075528e-07,8.424492978402972e-07
01 Jul 2031,3.9006862962393707e-07,4.868106250395601e-07,5.835526204551831e-07
01 Aug 2031,4.856362508092793e-07,5.25046771643395e-07,5.644572924775106e-07
01 Sep 2031,6.293944809382209e-07,7.14238572483272e-07,7.990826640283232e-07
01 Oct 2031,1.1430836654126406e-06,1.26697429795165e-06,1.3908649304906592e-06
01 Nov 2031,1.581936163020891e-06,1.658890488140532e-06,1.735844813260173e-06
01 Dec 2031,1.6221075478151913e-06,1.6360088646029367e-06,1.649910181390682e-06
01 Jan 2032,1.5354280569612368e-06,1.650312548015056e-06,1.765197039068875e-06
01 Feb 2032,1.5068215287092017e-06,2.049854146595627e-06,2.5928867644820524e-06
01 Mar 2032,1.165865041468862e-06,1.1976590272827151e-06,1.2294530130965683e-06
01 Apr 2032,7.849734169155039e-07,9.043501539934929e-07,1.0237268910714816e-06
01 May 2032,4.7352579805264403e-07,5.089161736538215e-07,5.44306549254999e-07
01 Jun 2032,3.268368241453553e-07,3.6723420928651886e-07,4.076315944276824e-07
01 Jul 2032,3.935210777587375e-07,4.3121394287541984e-07,4.6890680799210226e-07
01 Aug 2032,4.863052308894934e-07,5.08388167226122e-07,5.304711035627506e-07
01 Sep 2032,7.285006670190739e-07,8.083630135951275e-07,8.882253601711811e-07
01 Oct 2032,1.2541530428170312e-06,1.3093005727740474e-06,1.3644481027310636e-06
01 Nov 2032,1.661832411503353e-06,1.6707299776104301e-06,1.6796275437175073e-06
01 Dec 2032,1.7054429999526535e-06,1.8138943337863492e-06,1.9223456676200446e-06
01 Jan 2033,1.479122709509519e-06,1.7179138703820303e-06,1.956705031254542e-06
01 Feb 2033,1.3653970778806173e-06,1.4250716992271417e-06,1.484746320573666e-06
01 Mar 2033,1.2579112304395016e-06,1.6761793570948903e-06,2.094447483750279e-06
01 Apr 2033,4.904139053551432e-07,5.463849981610087e-07,6.02356090966874e-07
01 May 2033,3.1784915964929403e-07,6.549677603751712e-07,9.920863611010487e-07
